journal_abbrev,oldest_PMID,newest_PMID,random_PMID,FindIt_coverage
Acute Care,3344601,3344601,3155027,False
Acta Med Biol (Niigata),23794785,23794785,5043164,False
Perspectives,38855738,38855738,35291740,False
Acta Med Ital Med Trop Subtrop Gastroenterol,5181047,5181047,14303276,False
Acta Med Iugosl,11654345,11654345,2035340,False
Acta Med Leg Soc (Liege),9090887,9090887,2135842,False
Acta Med Nagasaki,20634916,20634916,5706771,False
Fam Pract Res J,7863810,7863810,8296588,False
Fetal Ther,11652025,11652025,2487905,False
Gynecol Endocrinol,38913119,38913119,38781518,False
Int J Dev Neurosci,N/A,N/A,N/A,True
J Am Board Fam Pract,16322422,16322422,16148245,False
J Biol Regul Homeost Agents,34445857,34445857,34289681,False
J Biolumin Chemilumin,N/A,N/A,N/A,True
Acta Med Okayama,38902220,38902220,38688831,False
J Bone Miner Res,N/A,N/A,N/A,True
Acta Med Philipp,38882923,38882923,5977381,False
Acta Med Pol,2562233,2562233,3565074,False
Acta Med Port,38848709,38848709,38430469,False
Acta Med Scand,3421150,3421150,3287836,False
Acta Med Scand Suppl,11659082,11659082,3164962,False
Acta Med Vet (Napoli),5169596,5169596,5206936,False
Acta Microbiol Acad Sci Hung,7185270,7185270,6998258,False
Acta Microbiol Bulg,8512002,8512002,3150247,False
Acta Microbiol Pol,15095929,15095929,15058813,False
Acta Microbiol Pol A,945657,945657,1114928,False
Acta Microbiol Pol B,1227256,1227256,4723722,False
Acta Morphol Acad Sci Hung,7168389,7168389,7032236,False
Acta Microbiol Virol Immunol (Sofiia),610403,610403,610399,False
Acta Morphol Hung,1365776,1365776,1844338,False
Acta Morphol Neerl Scand,2816530,2816530,2827435,False
Acta Neurobiol Exp (Wars),38587328,38587328,35833818,False
Acta Neurochir (Wien),N/A,N/A,N/A,True
Acta Neurochir Suppl (Wien),7976666,7976666,7976571,False
Acta Neurol (Napoli),7709801,7709801,8456592,False
Acta Rhumatol,11496384,11496384,11496650,False
Acta Leprol,15040703,15040703,11526636,False
Acta Microbiol Hung,8304009,8304009,1285337,False
Acta Neurol Belg,N/A,N/A,N/A,True
Acta Neurol Latinoam,6965174,6965174,377893,False
Acta Neurol Quad (Napoli),7336890,7336890,6791452,False
Acta Neurol Scand,N/A,N/A,N/A,True
Acta Neurol Scand Suppl,24588507,24588507,23190294,False
Acta Neuropathol,N/A,N/A,N/A,True
Acta Neuropathol Suppl,6605016,6605016,6939255,False
Acta Neuroveg (Wien),6082265,6082265,4865963,False
Acta Obstet Ginecol Hisp Lusit,7424494,7424494,495052,False
Acta Obstet Ginecol Hisp Lusit Suppl,4517769,4517769,4270002,False
Acta Obstet Gynaecol Jpn,7304140,7304140,7234343,False
Acta Obstet Gynecol Scand,N/A,N/A,N/A,True
Acta Obstet Gynecol Scand Suppl,N/A,N/A,N/A,True
Acta Odontol Scand,38899384,38899384,36538375,False
Acta Odontol Scand Suppl,4620124,4620124,5293614,False
Acta Odontol Venez,2131736,2131736,3330893,False
Acta Oncol (Madr),1015251,1015251,5989185,False
Acta Ophthalmol (Copenh),N/A,N/A,N/A,True
Acta Ophthalmol Suppl,8205058,8205058,1322012,False
Acta Orthop Belg,38669667,38669667,38205746,False
Acta Orthop Scand,15762273,15762273,15370598,False
Acta Orthop Scand Suppl,15678700,15678700,15188664,False
Acta Otolaryngol,38913077,38913077,37975845,False
Acta Otolaryngol Suppl,24328756,24328756,19848243,False
Acta Otorhinolaryngol Belg,15679200,15679200,12836470,False
Acta Otorhinolaryngol Ital,38859795,38859795,37519137,False
Acta Otorinolaryngol Iber Am,4794681,4794681,5036422,False
Acta Paediatr Acad Sci Hung,7201226,7201226,7270133,False
Acta Paediatr Belg,7345877,7345877,452893,False
Nihon Shonika Gakkai Zasshi,5065659,5065659,5169699,False
Acta Paediatr Jpn,N/A,N/A,N/A,True
Acta Paediatr Scand,N/A,N/A,N/A,True
Acta Paediatr Scand Suppl,1927518,1927518,1785312,False
Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi,9926519,9926519,9473819,False
Acta Paedopsychiatr,8079644,8079644,1310368,False
Ser Paedopsychiatr,4003084,4003084,5847388,False
Acta Pathol Jpn,N/A,N/A,N/A,True
Acta Pathol Microbiol Scand,5823365,5823365,5383841,False
Acta Pathol Microbiol Scand A,7336923,7336923,7004076,False
Acta Pathol Microbiol Scand B,N/A,N/A,N/A,True
Acta Pathol Microbiol Scand C,7336931,7336931,6270954,False
Acta Pathol Microbiol Scand Suppl,6951389,6951389,5074632,False
Acta Pathol Microbiol Immunol Scand Suppl,3551501,3551501,6587747,False
Acta Pediatr Esp,5860089,5860089,14206736,False
Acta Pathol Microbiol Immunol Scand A,3687441,3687441,3811917,False
Acta Pathol Microbiol Immunol Scand B,3439464,3439464,3296652,False
Acta Pathol Microbiol Immunol Scand C,3502058,3502058,3909739,False
Acta Pharm Hung,29489095,29489095,29870599,False
Zhongguo Yao Li Xue Bao,38914678,38914678,38789495,False
Yao Xue Xue Bao,N/A,N/A,N/A,True
Acta Pharm Suec,3414384,3414384,3832786,False
Acta Pharmacol Toxicol (Copenh),3811971,3811971,3716813,False
Acta Physiol Acad Sci Hung,7187170,7187170,7340392,False
Acta Physiol Hung,26690038,26690038,26551744,False
Acta Physiol Lat Am,6678104,6678104,6821270,False
Acta Physiol Pharmacol Bulg,14570155,14570155,10672334,False
Acta Physiol Pharmacol Latinoam,2129295,2129295,3425342,False
Acta Physiol Pharmacol Neerl,5808653,5808653,4312911,False
Acta Physiol Pol,2136323,2136323,2561967,False
Acta Physiol Scand,N/A,N/A,N/A,True
Acta Physiol Scand Suppl,11913222,11913222,9401612,False
Acta Pol Pharm,29624281,29624281,29624245,False
Acta Psiquiatr Psicol Am Lat,8762711,8762711,7532897,False
Acta Psychiatr Belg,8766367,8766367,8766364,False
Acta Psychiatr Scand,N/A,N/A,N/A,True
Acta Psychiatr Scand Suppl,26344706,26344706,17688461,False
Acta Psychol (Amst),38909397,38909397,38670040,False
Acta Rhumatol Belg,575698,575698,756664,False
Acta Radiol Diagn (Stockh),3812024,3812024,3022558,False
Acta Radiol Suppl,12834396,12834396,8619357,False
Acta Radiol Ther Phys Biol,607782,607782,983782,False
Acta Radiol Oncol Radiat Phys Biol,543449,543449,543445,False
Acta Radiol Oncol,3030060,3030060,3010655,False
Acta Med Iran,29436799,29436799,28918614,False
Acta Rheumatol Scand,5579068,5579068,5493041,False
Acta Sch Med Univ Kioto,5447691,5447691,13921769,False
Acta Soc Med Ups,5141083,5141083,5212567,False
Acta Stomatol Int,3483548,3483548,3331504,False
Nippon Ganka Gakkai Zasshi,30088717,30088717,27311274,False
Acta Sociomed Scand,5081884,5081884,5157679,False
Acta Stomatol Belg,11799592,11799592,1296458,False
Acta Stomatol Croat,38562224,38562224,34658379,False
Acta Theriol (Warsz),24954928,24954928,23002286,False
Acta Trop,N/A,N/A,N/A,True
Acta Trop Suppl,3477083,3477083,4286890,False
Acta Tuberc Pneumol Belg,400598,400598,930789,False
Acta Tuberc Jpn,5984181,5984181,13727401,False
Acta Tuberc Pneumol Scand,14320682,14320682,14162307,False
Acta Univ Carol Med (Praha),15828209,15828209,9355676,False
Acta Univ Carol Med Monogr,20063672,20063672,615485,False
Acta Urol Belg,11678075,11678075,9471883,False
Hinyokika Kiyo,38447946,38447946,35924705,False
Acta Vet Acad Sci Hung,7187820,7187820,7282495,False
Acta Vet Hung,38900586,38900586,34739393,False
Acta Vet Scand,38902837,38902837,36855124,False
Acta Vet Scand Suppl,16708426,16708426,16429810,False
Acta Virol,36950891,36950891,36950882,False
Acta Vitaminol Enzymol,4091153,4091153,6846106,False
Acta Zool Pathol Antverp,7258042,7258042,829200,False
Afr J Psychiatry,7348548,7348548,7340471,False
Actas Dermosifiliogr,N/A,N/A,N/A,True
Actas Urol Esp,N/A,N/A,N/A,True
Acta Univ Palacki Olomuc Fac Med,11144148,11144148,10743728,False
Actas Luso Esp Neurol Psiquiatr Cienc Afines,9972593,9972593,9717342,False
Actas Luso Esp Neurol Psiquiatr,5170856,5170856,5482848,False
Actual Cardiol Angeiol Int (Paris),5620763,5620763,4220949,False
Actual Endocrinol (Paris),4802084,4802084,4793592,False
Actual Hepatogastroenterol (Paris),5361793,5361793,5800885,False
Actual Neurophysiol (Paris),4681648,4681648,5857835,False
Actual Odontostomatol (Paris),1789163,1789163,2143621,False
Actual Pediatr (Granada),5861509,5861509,13582657,False
Actual Pharmacol (Paris),7282483,7282483,6116380,False
Acupunct Electrother Res,29772133,29772133,18494384,False
Actual Physiol Pathol (Paris),4806318,4806318,5527652,False
Addict Behav,38908051,38908051,38452424,False
Adv Data,18646580,18646580,16544808,False
ADM,1859812,1859812,3075132,False
Adm Soc Work,22347768,22347768,10176504,False
Addict Dis,262074,262074,937100,False
Adm Sci Q,37560020,37560020,10235922,False
Adolescence,19950876,19950876,19764273,False
Adult Educ,10307181,10307181,10307181,False
Adv Anat Embryol Cell Biol,37955775,37955775,30543033,False
Adv Appl Microbiol,38763529,38763529,37400175,False
Adm Ment Health,11658991,11658991,11658991,False
Adv Biochem Psychopharmacol,7653337,7653337,1324573,False
Adv Biol Med Phys,7457232,7457232,45171,False
Lifelong Learn Adult Years,10242741,10242741,10306491,False
Adv Biochem Eng Biotechnol,38877309,38877309,33547500,False
Adv Biol Skin,4665396,4665396,4579209,False
Adv Biomed Eng Med Phys,4950102,4950102,5527795,False
Adv Biophys,N/A,N/A,N/A,True
Adv Cancer Res,N/A,N/A,N/A,True
Adv Carbohydr Chem Biochem,37979979,37979979,20381701,False
Adv Cardiol,22906911,22906911,16646586,False
Adv Cardiopulm Dis,5762803,5762803,14284208,False
Adv Cell Biol,5005502,5005502,5005502,False
Adv Chemother,5690437,5690437,5319963,False
Adv Child Dev Behav,37481302,37481302,35871822,False
Adv Contracept,11145378,11145378,9288340,False
Adv Chromatogr,36186535,36186535,19013951,False
Adv Clin Chem,N/A,N/A,N/A,True
Adv Clin Pharmacol,685751,685751,4619749,False
Adv Comp Physiol Biochem,6814204,6814204,6753521,False
Adv Cyclic Nucleotide Protein Phosphorylation Res,3028088,3028088,6328939,False
Adv Cyclic Nucleotide Res,7306280,7306280,6269404,False
Adv Cytopharmacol,573053,573053,157674,False
Adv Drug Res,343530,343530,4099491,False
Adv Enzyme Regul,N/A,N/A,N/A,True
Adv Enzymol Relat Areas Mol Biol,22220481,22220481,8638482,False
Adv Exp Med Biol,N/A,N/A,N/A,True
Adv Fluorine Res,5328322,5328322,5220573,False
Adv Health Econ Health Serv Res,28989228,28989228,19725360,False
Aktuelle Traumatol,7825477,7825477,7976743,False
Adv Food Res,3075880,3075880,4900963,False
Adv Immun Cancer Ther,3321948,3321948,3321946,False
Adv Genet,38908906,38908906,38908901,False
Adv Gerontol Res,4938683,4938683,4938683,False
Adv Nutr Res,11795054,11795054,7039265,False
Adv Heterocycl Chem,32287461,32287461,14087220,False
Adv Hum Genet,N/A,N/A,N/A,True
Adv Immunol,38866439,38866439,31296304,False
Adv Inorg Biochem,8203290,8203290,6382958,False
Adv Intern Med,11795081,11795081,11270961,False
Adv Lipid Res,8397478,8397478,362864,False
Adv Metab Disord,6666723,6666723,1106158,False
Adv Microb Physiol,38821635,38821635,27720010,False
Adv Nephrol Necker Hosp,11692473,11692473,9889984,False
Adv Morphog,4601350,4601350,4881310,False
Adv Neurol,16536373,16536373,16383215,False
Shinkei Kenkyu No Shimpo,5066193,5066193,4258005,False
Adv Alcohol Subst Abuse,2378300,2378300,2851934,False
Adv Ophthalmol,7223539,7223539,119433,False
Adv Oral Biol,5270170,5270170,5333762,False
Adv Otorhinolaryngol,N/A,N/A,N/A,True
Adv Prostaglandin Thromboxane Res,7386297,7386297,7386279,False
Adv Parasitol,38754928,38754928,32381204,False
Adv Pathobiol,7405748,7405748,192062,False
Adv Pediatr,37422301,37422301,34243860,False
Adv Pest Control Res,4884782,4884782,4883053,False
Adv Pharm Sci,4618036,4618036,4947389,False
Adv Pharmacol Chemother,6442959,6442959,4400179,False
Adverse Drug React Acute Poisoning Rev,11652183,11652183,2863962,False
Adv Protein Chem,N/A,N/A,N/A,True
Adv Prostaglandin Thromboxane Leukot Res,7794421,7794421,7732865,False
Adv Psychobiol,987695,987695,788478,False
Adv Psychosom Med,25832520,25832520,16418539,False
Adv Sci,5116470,5116470,5930293,False
Adv Steroid Biochem Pharmacol,555839,555839,400321,False
Adv Surg,37536864,37536864,32713430,False
Adv Reprod Physiol,4611180,4611180,5005816,False
Adv Tracer Methodol,5638188,5638188,5919823,False
Adv Sex Horm Res,401554,401554,188324,False
Adv Sociodent Res,782205,782205,782205,False
Adv Tuberc Res,3909787,3909787,6475643,False
Adv Vet Sci Comp Med,8578979,8578979,8578975,False
Adv Shock Res,6880974,6880974,7136950,False
Adv Virus Res,N/A,N/A,N/A,True
Aeromed Rev,552800,552800,1155291,False
Aerosp Med,4611184,4611184,4851760,False
Arztl Forsch,4678715,4678715,5536675,False
Arztl Jugendkd,1927729,1927729,2088096,False
Asthet Med (Berl),5309778,5309778,5303244,False
Aesthetic Plast Surg,38914879,38914879,38898243,False
AFL CIO Am Fed,10243382,10243382,10243382,False
Afr J Med Sci,4792061,4792061,4739648,False
Aging Leis Living,10251223,10251223,10309126,False
Age Ageing,38899445,38899445,38783756,False
Aging,38914859,38914859,38850525,False
Agents Actions,N/A,N/A,N/A,True
Aggiorn Clinico Ter,5842515,5842515,13691948,False
Agents Actions Suppl,9426830,9426830,7717170,False
Agnes Karll Schwest Krankenpfleger,5210724,5210724,5208428,False
Agressologie,7818022,7818022,1340090,False
Aichi Gakuin Daigaku Shigakkai Shi,1951943,1951943,2135130,False
Arch Interam Rheumatol,5295775,5295775,14209276,False
Air Water Pollut,5957680,5957680,5854668,False
Aktuelle Gerontol,6140880,6140880,6131615,False
Aktuelle Otorhinolaryngol,4403520,4403520,4399687,False
Am J Otolaryngol,N/A,N/A,N/A,True
Aktuelle Probl Chir,14553,14553,4124391,False
Aktuelle Probl Chir Orthop,8179128,8179128,1978589,False
Adolesc Psychiatry,18668184,18668184,8296971,False
Akush Ginekol (Mosk),8779360,8779360,7785729,False
Akush Ginekol (Sofiia),27514170,27514170,26817246,False
Ala J Med Sci,3265288,3265288,3344924,False
Brain Dev,38876823,38876823,36774261,False
Ala Nurse,29791091,29791091,21290946,False
Am Coll Physicians Obs,11660230,11660230,10301570,False
Bull Alameda Cty Dent Soc,4511407,4511407,5230474,False
Am J Pediatr Hematol Oncol,7978064,7978064,8037339,False
Alaska Med,26554126,26554126,17929626,False
Am J Dermatopathol,N/A,N/A,N/A,True
Alaska Nurse,261755,261755,5209699,False
Alcohol Clin Exp Res,N/A,N/A,N/A,True
Albrecht Von Graefes Arch Klin Exp Ophthalmol,N/A,N/A,N/A,True
Alergia,38683100,38683100,37933944,False
Alex Dent J,296669,296669,1075817,False
Aliment Vie,5079755,5079755,4393353,False
Appl Radiol,35531303,35531303,10315752,False
Allerg Asthma (Leipz),5524335,5524335,5400708,False
Allergy,N/A,N/A,N/A,True
Allerg Asthmaforsch,5387388,5387388,13917998,False
Allerg Immunol (Leipz),2063730,2063730,2097900,False
Allied Health Behav Sci,10314527,10314527,10247040,False
AHME J,10237071,10237071,10237060,False
AJR Am J Roentgenol,38899848,38899848,38899844,False
AIA J,10260574,10260574,10238633,False
AJNR Am J Neuroradiol,38914434,38914434,38789121,False
Allergol Immunopathol (Madr),N/A,N/A,N/A,True
Alcohol Health Res World,15706799,15706799,15706735,False
Ala Med,8871515,8871515,7668190,False
Alma Mater (Baltimore),327780,327780,327776,False
Alpha Omegan,25269226,25269226,25269216,False
Altern Entwickl Aging Dev,5163281,5163281,4115089,False
Alumnae Mag,245962,245962,5174263,False
Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc,6560981,6560981,34994,False
Alumni Bull Sch Dent Indiana Univ,7879721,7879721,6952751,False
Alumni Bull Univ Mich Sch Dent,773158,773158,773145,False
Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc,8999735,8999735,7840047,False
Am Behav Sci,38603357,38603357,38603016,False
Am Ann Deaf,38766943,38766943,35848316,False
Am Arch Rehabil Ther,10284406,10284406,10250866,False
Am Assoc Ind Nurses J,5701161,5701161,5644291,False
Am Correct Ther J,6464943,6464943,7048872,False
Am Fam Physician,38905567,38905567,38905551,False
Am Heart J,38908422,38908422,38278503,False
Am Pharm,8546075,8546075,7661103,False
Am Rehabil,1047601,1047601,1251793,False
Am Imago,7424796,7424796,4578625,False
Am J Art Ther,10172566,10172566,10251680,False
Am Ind Hyg Assoc J,11419481,11419481,9866166,False
Am Educ,10239639,10239639,10235850,False
Annu Meet Am Inst Oral Biol,1062931,1062931,5228876,False
Am J Anat,N/A,N/A,N/A,True
Am J Bot,38898619,38898619,38380917,False
Am J Cardiol,38914415,38914415,38682707,False
Am J Chin Med (Gard City N Y),848460,848460,1202936,False
Am J Chin Med,38904550,38904550,38480502,False
Am J Clin Hypn,38900686,38900686,35235493,False
Am J Clin Nutr,38914226,38914226,38608753,False
Am J Clin Oncol,N/A,N/A,N/A,True
Am J Clin Pathol,N/A,N/A,N/A,True
Am J Community Psychol,38880996,38880996,38204351,False
Am J Orthod Dentofacial Orthop,N/A,N/A,N/A,True
Am J Dig Dis,736022,736022,717347,False
Am J Econ Sociol,34230670,34230670,21322898,False
Am J Dis Child,8305070,8305070,8249943,False
Am J Drug Alcohol Abuse,38905161,38905161,38011685,False
Am J Epidemiol,38907335,38907335,38754870,False
Am J Hematol,N/A,N/A,N/A,True
Am J Kidney Dis,N/A,N/A,N/A,True
Am J Health Plann,10308744,10308744,10308628,False
Am J Forensic Med Pathol,N/A,N/A,N/A,True
Am J Gastroenterol,N/A,N/A,N/A,True
Am J Hosp Pharm,7856635,7856635,7856588,False
Am J Hum Genet,N/A,N/A,N/A,True
Am J Ind Med,N/A,N/A,N/A,True
Am J Law Med,38634338,38634338,37039756,False
Am J Med,38885754,38885754,38795938,False
Am J Med Electron,5907542,5907542,14111393,False
Am J Med Sci,N/A,N/A,N/A,True
Am J Med Genet,N/A,N/A,N/A,True
Am J Med Technol,6670669,6670669,6312796,False
Am J Ment Defic,3434595,3434595,3591845,False
Am J Nephrol,N/A,N/A,N/A,True
Am J Nurs,38900130,38900130,38511711,False
Am J Obstet Gynecol,N/A,N/A,N/A,True
Am J Occup Ther,38900916,38900916,38060337,False
Am J Ophthalmol,38914153,38914153,38762092,False
Am J Optom Arch Am Acad Optom,4592887,4592887,4517963,False
Am J Optom Physiol Opt,3265595,3265595,3189497,False
Am J Orthod,3521300,3521300,3863487,False
Am J Orthop Surg,5445648,5445648,5769615,False
Am J Orthopsychiatry,38913755,38913755,37883020,False
Am J Otol,11078082,11078082,10821563,False
Am J Pharm Educ,38908435,38908435,38788928,False
Am J Pathol,N/A,N/A,N/A,True
Am J Pharm Sci Support Public Health,727232,727232,1220562,False
Am J Phys Anthropol,N/A,N/A,N/A,True
Am J Phys Med,3434632,3434632,3946590,False
Am J Physiol,16211675,16211675,16211670,False
Am J Pract Nurs,5183740,5183740,5176766,False
Am J Proctol,7369342,7369342,1146995,False
Am J Proctol Gastroenterol Colon Rectal Surg,7137333,7137333,7114208,False
Am J Psychiatry,38859703,38859703,38706338,False
Am J Psychoanal,38890449,38890449,35768635,False
Am J Psychol,33678806,33678806,29558052,False
Am J Psychother,38877754,38877754,34521213,False
Am J Public Health,38900982,38900982,38718337,False
Am J Reprod Immunol Microbiol,3266715,3266715,3501676,False
Am J Roentgenol Radium Ther Nucl Med,11664822,11664822,1239960,False
Am J EEG Technol,10299760,10299760,10258497,False
Am J Sports Med,38910353,38910353,38853744,False
Am Med News,11654661,11654661,10263078,False
AJS,38912089,38912089,34176948,False
Am J Surg Pathol,N/A,N/A,N/A,True
Am J Surg,N/A,N/A,N/A,True
Am Laund Dig,10159841,10159841,10104717,False
Am J Trop Med Hyg,38889734,38889734,38688272,False
Am J Vet Res,38906170,38906170,38382190,False
Am Nurse,29790707,29790707,26975147,False
Am Lung Assoc Bull,10260622,10260622,587631,False
Am Orthopt J,28904223,28904223,26564936,False
Am Psychol,38842882,38842882,38483526,False
Am Rev Respir Dis,8305081,8305081,8239187,False
Am Sci,35068490,35068490,7294496,False
Am Sociol Rev,38835870,38835870,21546987,False
Am Surg,38900926,38900926,38794835,False
Am Zool,11540629,11540629,5342440,False
An Acad Bras Cienc,38896742,38896742,38808880,False
An Bras Dermatol,38880671,38880671,38644070,False
An Bras Ginecol,5859824,5859824,14338628,False
An Cir (Rosario),5522766,5522766,5747301,False
An Esc Nacl Saude Publica Med Trop (Lisb),5167755,5167755,5404996,False
Anal Quant Cytol,6529050,6529050,6881766,False
An Esp Odontoestomatol,1070926,1070926,130816,False
An Esp Pediatr,16097098,16097098,12467544,False
An Fac Med Lima,5740894,5740894,5961812,False
An Fac Med Univ Repub Montev Urug,5757169,5757169,6015086,False
An Fac Odontol,2134733,2134733,2640418,False
An Fac Odontol Univ Fed Pernambuco,5317474,5317474,5317473,False
Anasth Intensivther Notfallmed,2281855,2281855,2121060,False
An Inst Hig Med Trop (Lisb),576006,576006,45239,False
An Inst Invest Odontol (Maracaibo),5281617,5281617,5238280,False
An Inst Med Trop (Lisb),4969704,4969704,14203069,False
An Med Cir (1955),13768047,13768047,13768047,False
An Med Espec,5323425,5323425,5295237,False
An Med Med,5323461,5323461,14278691,False
An Microbiol (Rio J),6985413,6985413,829999,False
An Otorrinolaringol Ibero Am,18293776,18293776,17233274,False
An Paul Med Cir,5843857,5843857,14074036,False
An Programa Acad Med (Lima),5116484,5116484,5406429,False
An Real Acad Farm,14339617,14339617,14290773,False
An R Acad Nac Med (Madr),27400585,27400585,23350329,False
ANA Clin Sess,4490721,4490721,4490709,False
ANA Publ,8715038,8715038,8484494,False
ANA Clin Conf,5317826,5317826,5186746,False
Anaesth Intensive Care,38879798,38879798,36688348,False
Anaesth Resusc Intensive Ther,1071525,1071525,239610,False
Anaesthesia,N/A,N/A,N/A,True
Anasthesiol Intensivmed Prax,556403,556403,596598,False
Anaesthesist,35507045,35507045,34596699,False
Anal Biochem,N/A,N/A,N/A,True
Anal Chem,38914924,38914924,38860851,False
Anal Chim Acta,N/A,N/A,N/A,True
Analyst,38912921,38912921,38885067,False
Anat Anz,1952094,1952094,1719846,False
Anat Histol Embryol,N/A,N/A,N/A,True
Anat Embryol (Berl),17136565,17136565,16947066,False
Anat Rec,N/A,N/A,N/A,True
Anat Rec Suppl,6586089,6586089,6586089,False
Andrologia,N/A,N/A,N/A,True
Andrologie,4798374,4798374,4765049,False
ANEC,400583,400583,5194923,False
Anesth Analg,N/A,N/A,N/A,True
Anesth Analg (Paris),7332106,7332106,7114531,False
Anesth Prog,38221701,38221701,34911065,False
Anesthesiology,38909220,38909220,38728065,False
Anesteziol Reanimatol,29465211,29465211,29932578,False
Angeiologie,5148587,5148587,5728901,False
Am J Infect Control,38906581,38906581,38460731,False
Angew Chem Int Ed Engl,N/A,N/A,N/A,True
Angew Parasitol,1456469,1456469,2389828,False
Angiologia,8311347,8311347,8285365,False
Angiologica,4793154,4793154,4677551,False
Angiology,N/A,N/A,N/A,True
